Checking for IMEI intersection between #88 and others...
Found 405 history records in #88 equipments that mention other purchases.
Equipo 12000: Ingreso inicial por compra #88.
Equipo 12001: Ingreso inicial por compra #88.
Equipo 12002: Ingreso inicial por compra #88.
Equipo 12003: Ingreso inicial por compra #88.
Equipo 12004: Ingreso inicial por compra #88.
Equipo 12005: Ingreso inicial por compra #88.
Equipo 12006: Ingreso inicial por compra #88.
Equipo 12007: Ingreso inicial por compra #88.
Equipo 12008: Ingreso inicial por compra #88.
Equipo 12009: Ingreso inicial por compra #88.
Equipo 12010: Ingreso inicial por compra #88.
Equipo 12011: Ingreso inicial por compra #88.
Equipo 12012: Ingreso inicial por compra #88.
Equipo 12013: Ingreso inicial por compra #88.
Equipo 12014: Ingreso inicial por compra #88.
Equipo 12015: Ingreso inicial por compra #88.
Equipo 12016: Ingreso inicial por compra #88.
Equipo 12017: Ingreso inicial por compra #88.
Equipo 12018: Ingreso inicial por compra #88.
Equipo 12019: Ingreso inicial por compra #88.
Equipo 12020: Ingreso inicial por compra #88.
Equipo 12021: Ingreso inicial por compra #88.
Equipo 12022: Ingreso inicial por compra #88.
Equipo 12023: Ingreso inicial por compra #88.
Equipo 12024: Ingreso inicial por compra #88.
Equipo 12025: Ingreso inicial por compra #88.
Equipo 12026: Ingreso inicial por compra #88.
Equipo 12027: Ingreso inicial por compra #88.
Equipo 12028: Ingreso inicial por compra #88.
Equipo 12029: Ingreso inicial por compra #88.
Equipo 12030: Ingreso inicial por compra #88.
Equipo 12031: Ingreso inicial por compra #88.
Equipo 12032: Ingreso inicial por compra #88.
Equipo 12033: Ingreso inicial por compra #88.
Equipo 12034: Ingreso inicial por compra #88.
Equipo 12035: Ingreso inicial por compra #88.
Equipo 12036: Ingreso inicial por compra #88.
Equipo 12037: Ingreso inicial por compra #88.
Equipo 12038: Ingreso inicial por compra #88.
Equipo 12039: Ingreso inicial por compra #88.
Equipo 12040: Ingreso inicial por compra #88.
Equipo 12041: Ingreso inicial por compra #88.
Equipo 12042: Ingreso inicial por compra #88.
Equipo 12043: Ingreso inicial por compra #88.
Equipo 12044: Ingreso inicial por compra #88.
Equipo 12045: Ingreso inicial por compra #88.
Equipo 12046: Ingreso inicial por compra #88.
Equipo 12047: Ingreso inicial por compra #88.
Equipo 12048: Ingreso inicial por compra #88.
Equipo 12049: Ingreso inicial por compra #88.
Equipo 12050: Ingreso inicial por compra #88.
Equipo 12051: Ingreso inicial por compra #88.
Equipo 12052: Ingreso inicial por compra #88.
Equipo 12053: Ingreso inicial por compra #88.
Equipo 12054: Ingreso inicial por compra #88.
Equipo 12055: Ingreso inicial por compra #88.
Equipo 12056: Ingreso inicial por compra #88.
Equipo 12057: Ingreso inicial por compra #88.
Equipo 12058: Ingreso inicial por compra #88.
Equipo 12059: Ingreso inicial por compra #88.
Equipo 12060: Ingreso inicial por compra #88.
Equipo 12061: Ingreso inicial por compra #88.
Equipo 12062: Ingreso inicial por compra #88.
Equipo 12063: Ingreso inicial por compra #88.
Equipo 12064: Ingreso inicial por compra #88.
Equipo 12065: Ingreso inicial por compra #88.
Equipo 12066: Ingreso inicial por compra #88.
Equipo 12067: Ingreso inicial por compra #88.
Equipo 12068: Ingreso inicial por compra #88.
Equipo 12069: Ingreso inicial por compra #88.
Equipo 12070: Ingreso inicial por compra #88.
Equipo 12071: Ingreso inicial por compra #88.
Equipo 12072: Ingreso inicial por compra #88.
Equipo 12073: Ingreso inicial por compra #88.
Equipo 12074: Ingreso inicial por compra #88.
Equipo 12075: Ingreso inicial por compra #88.
Equipo 12076: Ingreso inicial por compra #88.
Equipo 12077: Ingreso inicial por compra #88.
Equipo 12078: Ingreso inicial por compra #88.
Equipo 12079: Ingreso inicial por compra #88.
Equipo 12080: Ingreso inicial por compra #88.
Equipo 12081: Ingreso inicial por compra #88.
Equipo 12082: Ingreso inicial por compra #88.
Equipo 12083: Ingreso inicial por compra #88.
Equipo 12084: Ingreso inicial por compra #88.
Equipo 12085: Ingreso inicial por compra #88.
Equipo 12086: Ingreso inicial por compra #88.
Equipo 12087: Ingreso inicial por compra #88.
Equipo 12088: Ingreso inicial por compra #88.
Equipo 12089: Ingreso inicial por compra #88.
Equipo 12090: Ingreso inicial por compra #88.
Equipo 12091: Ingreso inicial por compra #88.
Equipo 12092: Ingreso inicial por compra #88.
Equipo 12093: Ingreso inicial por compra #88.
Equipo 12094: Ingreso inicial por compra #88.
Equipo 12095: Ingreso inicial por compra #88.
Equipo 12096: Ingreso inicial por compra #88.
Equipo 12097: Ingreso inicial por compra #88.
Equipo 12098: Ingreso inicial por compra #88.
Equipo 12099: Ingreso inicial por compra #88.
Equipo 12100: Ingreso inicial por compra #88.
Equipo 12101: Ingreso inicial por compra #88.
Equipo 12102: Ingreso inicial por compra #88.
Equipo 12103: Ingreso inicial por compra #88.
Equipo 12104: Ingreso inicial por compra #88.
Equipo 12105: Ingreso inicial por compra #88.
Equipo 12106: Ingreso inicial por compra #88.
Equipo 12107: Ingreso inicial por compra #88.
Equipo 12108: Ingreso inicial por compra #88.
Equipo 12109: Ingreso inicial por compra #88.
Equipo 12110: Ingreso inicial por compra #88.
Equipo 12111: Ingreso inicial por compra #88.
Equipo 12112: Ingreso inicial por compra #88.
Equipo 12113: Ingreso inicial por compra #88.
Equipo 12114: Ingreso inicial por compra #88.
Equipo 12115: Ingreso inicial por compra #88.
Equipo 12116: Ingreso inicial por compra #88.
Equipo 12117: Ingreso inicial por compra #88.
Equipo 12118: Ingreso inicial por compra #88.
Equipo 12119: Ingreso inicial por compra #88.
Equipo 12120: Ingreso inicial por compra #88.
Equipo 12121: Ingreso inicial por compra #88.
Equipo 12122: Ingreso inicial por compra #88.
Equipo 12123: Ingreso inicial por compra #88.
Equipo 12124: Ingreso inicial por compra #88.
Equipo 12125: Ingreso inicial por compra #88.
Equipo 12126: Ingreso inicial por compra #88.
Equipo 12127: Ingreso inicial por compra #88.
Equipo 12128: Ingreso inicial por compra #88.
Equipo 12129: Ingreso inicial por compra #88.
Equipo 12130: Ingreso inicial por compra #88.
Equipo 12131: Ingreso inicial por compra #88.
Equipo 12132: Ingreso inicial por compra #88.
Equipo 12133: Ingreso inicial por compra #88.
Equipo 12134: Ingreso inicial por compra #88.
Equipo 12135: Ingreso inicial por compra #88.
Equipo 12136: Ingreso inicial por compra #88.
Equipo 12137: Ingreso inicial por compra #88.
Equipo 12138: Ingreso inicial por compra #88.
Equipo 12139: Ingreso inicial por compra #88.
Equipo 12140: Ingreso inicial por compra #88.
Equipo 12141: Ingreso inicial por compra #88.
Equipo 12142: Ingreso inicial por compra #88.
Equipo 12143: Ingreso inicial por compra #88.
Equipo 12144: Ingreso inicial por compra #88.
Equipo 12145: Ingreso inicial por compra #88.
Equipo 12146: Ingreso inicial por compra #88.
Equipo 12147: Ingreso inicial por compra #88.
Equipo 12148: Ingreso inicial por compra #88.
Equipo 12149: Ingreso inicial por compra #88.
Equipo 12150: Ingreso inicial por compra #88.
Equipo 12151: Ingreso inicial por compra #88.
Equipo 12152: Ingreso inicial por compra #88.
Equipo 12153: Ingreso inicial por compra #88.
Equipo 12154: Ingreso inicial por compra #88.
Equipo 12155: Ingreso inicial por compra #88.
